,date,Close,High,Low,Open,Volume,normalized
0,2019-01-02,37.66719055175781,37.88901670735737,36.78704853865948,36.94447308269307,148158800,0.4089634280740133
1,2019-01-03,33.91524887084961,34.757226401323194,33.869929368945684,34.342199196005986,365248800,0.9795
2,2019-01-04,35.36307144165039,35.43224447060452,34.29927134520694,34.473390406461,234428400,0.5016581724686383
3,2019-01-07,35.28436279296875,35.499033590805276,34.800166098962414,35.46802473744808,219111200,0.4873031078891094
4,2019-01-08,35.95699691772461,36.212215823587805,35.42509675519286,35.673156691404685,164101200,0.42246080738885505
5,2019-01-09,36.567604064941406,36.85859957931004,35.68984972880673,36.08579128285842,180396400,0.42733818233598025
6,2019-01-10,36.684486389160156,36.72503447362774,35.98323491057878,36.374408734337045,143122800,0.41183359489233085
7,2019-01-11,36.324302673339844,36.6606176122784,36.13825688574314,36.46503260152564,108092800,0.4102399688660882
8,2019-01-14,35.77810287475586,36.08102516483244,35.592057030970075,35.98084691352754,129756800,0.4112337169248282
9,2019-01-15,36.51036071777344,36.58668543964346,35.79002727502903,35.842502113611935,114843600,0.40594185515555814
10,2019-01-16,36.956382751464844,37.180592700248454,36.493652200066414,36.51273428501987,122278800,0.4090811493585914
11,2019-01-17,37.17582702636719,37.60516490547045,36.555671907714014,36.77988189121995,119284800,0.4022151571359755
12,2019-01-18,37.404815673828125,37.65764701831298,37.204455531816905,37.5670079931064,135004000,0.41629902293580295
13,2019-01-22,36.56521987915039,37.38334404012299,36.40302392903853,37.30701931736308,121576000,0.40097294162083386
14,2019-01-23,36.713096618652344,37.00409209177719,36.183580504575076,36.767955347001276,92522400,0.409599231802846
15,2019-01-24,36.4221076965332,36.846674222629616,36.19312987817438,36.758422734255575,101766000,0.40885303618412167
16,2019-01-25,37.62901306152344,37.71726816899885,36.808505156266335,37.0851863194231,134142000,0.4072922918891789
17,2019-01-28,37.28077697753906,37.28793230561794,36.65108262984457,37.1591291211258,104768400,0.4095178524403281
18,2019-01-29,36.89436721801758,37.717266256677696,36.75841235915359,37.268846332948215,166348800,0.4214444754546716
19,2019-01-30,39.4155387878418,39.630205924517746,38.218164063991175,38.93849747119621,244439200,0.5201664230032916
20,2019-01-31,39.699378967285156,40.30999127047661,39.25095896483175,39.62066671326708,162958400,0.42260622431189543
21,2019-02-01,39.71846389770508,40.30522272121144,39.57773393313214,39.82341357723608,130672400,0.4140395503888108
22,2019-02-04,40.84666442871094,40.944458776160424,39.89973708480651,39.9307459363238,125982000,0.40898018747544596
23,2019-02-05,41.5455207824707,41.760191529038174,41.109031240808925,41.230675449522025,144406400,0.42443304925123915
24,2019-02-06,41.559837341308594,41.877070227096375,41.22829379954388,41.65762803699635,112958400,0.4151287030397434
25,2019-02-07,40.77272033691406,41.48828228416903,40.62960649164856,41.12095844643784,126966800,0.411736943507712
26,2019-02-08,40.820640563964844,40.880526485692926,40.34394731115654,40.48048896716693,95280000,0.41857938087283175
27,2019-02-11,40.58587646484375,41.01226749936198,40.54276036486366,40.97393964039359,83973600,0.4227535287078855
28,2019-02-12,40.935611724853516,40.96196167096465,40.65055421378195,40.74637386107052,89134000,0.42370420780576096
29,2019-02-13,40.76552963256836,41.316480664397695,40.70324961006937,41.05537900777508,89960800,0.41891173806694404
30,2019-02-14,40.91405487060547,41.02424289927531,40.573903336868185,40.65295317751181,87342800,0.422528386670623
31,2019-02-15,40.823028564453125,41.129644145318814,40.66253475690202,41.02185023339894,98507200,0.41851575817178954
32,2019-02-19,40.945186614990234,41.06735619273422,40.60024689439193,40.652946779860834,75891200,0.42772568365531566
33,2019-02-20,41.20869064331055,41.51770397489298,40.95956687476161,41.00747487004267,104457600,0.4174563658109607
34,2019-02-21,40.97633361816406,41.290135195189876,40.79428177141705,41.153597223916066,68998800,0.4312808379013565
35,2019-02-22,41.433860778808594,41.44104679508973,41.052987295325664,41.10089528891515,75652800,0.997
36,2019-02-25,41.735687255859375,42.12853867814377,41.66861532926052,41.71892110178259,87493600,0.4235088850121404
37,2019-02-26,41.75965118408203,41.99200885171948,41.481779631319185,41.61113526853311,68280800,0.4326630663595239
38,2019-02-27,41.88899612426758,41.92013796783325,41.3763728690382,41.49135645059792,111341600,0.4179752067002691
